PDB_File,LigVol,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,FractionCSP3,NumHeteroatoms,HeavyAtomCount,NumAtoms,MolMR,BertzCT,NumCarbons,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
DB01459,464.9280000000001,492.62299999999976,5.3900800000000055,71.03,0,6,8,4,0.3225806451612903,6,37,69,145.72049999999976,2858.287408890121,31,0.5547793676801287,0.9829327238816059,0.0003811731904779782,0.18396537805436763,0.9770028919162734,2563.146927230494,13612.354600605508,13932.76797155279,5.528032112491461,0.2786953211515585
DB01460,224.27200000000005,216.32800000000015,3.052200000000002,19.03,1,1,7,2,0.42857142857142855,2,16,36,69.79070000000004,1158.441629917773,14,0.48631322230742147,0.9762086724251302,0.0017990423226259473,0.21683317984562459,0.8962663973176852,498.1908352269681,2059.240681631194,2297.576577448421,3.34983652613486,0.2302797029538063
DB01461,319.1280000000001,327.4239999999996,3.071500000000002,38.77,0,4,11,2,0.35,4,24,49,94.80300000000007,1499.0289769176572,20,0.23418937896136166,0.9178420218271599,0.0005463608341489708,0.39694586906558355,0.8466180373890121,1549.5584318516014,3304.9446300625136,3903.7021231617423,3.657103950640014,0.38283424583725395
DB01462,375.1760000000001,396.49099999999964,4.275800000000003,73.43,0,6,13,3,0.4090909090909091,7,29,57,114.59240000000004,2059.6262588357686,22,0.23675316150333442,0.9026782132838662,0.00016756174729249483,0.4303162131068813,0.628575550236232,3751.3069682843197,5479.6444332639085,8717.558981103452,4.757541010524219,0.15263767582976107
DB01463,225.45600000000005,215.34000000000015,3.1782000000000012,12.03,1,1,4,1,0.6,1,16,37,67.47870000000005,1144.4528679986165,15,0.25964603125325386,0.9264478912372407,0.0011580528386424544,0.37642303970675023,0.7639507742387958,659.6855935644086,1338.832289198668,1752.5112014353108,2.951194708831068,0.2989247514152688
DB01464,355.0800000000001,361.4819999999995,2.778900000000001,48.00000000000001,0,5,9,1,0.6666666666666666,5,26,57,100.22000000000008,1760.3405201525113,21,0.648769742378657,0.9907115021562032,0.0008057406530158804,0.1359805849943268,0.9490970139349104,1177.9187389669967,8221.46159952315,8662.40382048761,4.998296189054188,0.17079109198637143
DB01465,195.99200000000005,195.26200000000014,1.5934999999999997,44.480000000000004,1,3,8,1,0.45454545454545453,3,14,31,56.899400000000036,825.5727400003249,11,0.2001018572473557,0.8765509037028462,0.0008517644112608409,0.4813091659398601,0.6101289998359989,716.3119188471887,908.0289874875336,1488.2573811957955,2.823174174587436,0.22613642315320315
DB01466,290.6960000000001,313.3969999999996,1.8912000000000002,41.93,1,4,5,1,0.5789473684210527,4,23,46,87.08080000000004,1601.9269722861973,19,0.21927508705242535,0.9113875166989364,0.0006783968376536414,0.4115492612134614,0.8106546409563743,1194.9563971438465,2353.781285450361,2903.5561711871214,3.2084454052539666,0.3773205633989624
DB01467,229.21600000000007,223.31600000000017,2.1559,44.480000000000004,1,3,10,1,0.5384615384615384,3,16,37,66.27740000000004,1002.3923564207696,13,0.2546077954099818,0.9220285630505757,0.000945590660881966,0.38712185280463113,0.7190818694874519,760.4578801748676,1412.5564604036394,1964.388924741606,3.0436100430807316,0.22190402487753433
DB01468,259.1600000000001,277.45799999999963,4.581500000000004,3.24,0,3,8,2,0.3333333333333333,3,18,37,83.48300000000005,1157.8627503494135,15,0.14975502081395736,0.871034842553001,0.0006870153245885288,0.491221236367758,0.8106165982528807,1179.9105045267802,1947.096274775626,2401.99408570241,3.156528431031639,0.535734734772777
DB01469,422.7920000000001,453.5789999999996,3.383300000000002,68.23,1,6,11,1,0.6666666666666666,6,33,68,123.53580000000007,2431.8473788257124,27,0.18787357702103433,0.8841002882056179,0.00023687301834709635,0.46729720777546224,0.6772451327491648,2859.1062733737763,4143.649427893433,6118.389380035812,3.8031582893456153,0.25134050182172296
DB01470,344.9120000000001,356.53499999999957,4.586700000000005,23.550000000000004,0,3,8,2,0.47619047619047616,4,25,53,106.29900000000005,1768.4361102885607,21,0.5442966072115584,0.9826481107960219,0.00068864599111585,0.18547962246297878,0.895993750138586,1301.094846550634,6285.180201289097,7014.758976072042,4.525074396423942,0.20801603292249815
DB01471,325.39200000000005,316.4849999999994,4.515300000000005,37.3,1,2,5,0,0.8571428571428571,2,23,55,91.88080000000005,1743.9715590701733,21,0.47014286686546786,0.9739162894350744,0.0010982160593256195,0.2269076049254771,0.9154263828096308,833.5576365289777,3362.869447772268,3673.5553081296757,3.5261056202658776,0.36465125506673846
